participant,Friendly,Respectful,Sympathy,CloseFeelings,Proud,Superior,Selfesteem,Topworld,Guilty,Indebted,Afraid,Ashamed,Disappointed,Frustrated,Angry,Sad,Trustworthy,Fair,Selfish,Cooperative,Competitive,Understanding,Caring,Envious,Altruistic,Empathetic,Trustworthy_others,Fair_others,Selfish_others,Cooperative_others,Competitive_others,Understanding_others,Caring_others,Envious_others,Altruistic_others,Empathetic_others,feel_others_behave,feel_others_influence,feel_others_reciprocity
c44hqhkk,2.0,3.0,2.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0,3.0,1.0,1.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0,4.0,4.0,3.0,1.0,4.0,3.0,3.0,3.0,0.0,2.0,1.0,5.0,5.0,5.0
4uom0ji5,5.0,5.0,5.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0
eh8vlvj5,5.0,5.0,5.0,3.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,1.0,3.0,4.0,5.0,0.0,3.0,3.0,2.0,1.0,5.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0
m910d9vm,3.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,5.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0
po6m1j71,1.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0
qmcg6viw,5.0,5.0,5.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,5.0,0.0,4.0,5.0,0.0,5.0,5.0,3.0,4.0,0.0,3.0,0.0,2.0,4.0,0.0,3.0,3.0,2.0,4.0,2.0
hanuv6to,2.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,4.0,1.0,4.0,1.0,3.0,4.0,1.0,1.0,3.0,3.0,4.0,2.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,4.0,5.0,4.0
vf9hkgw8,3.0,5.0,5.0,2.0,5.0,3.0,4.0,4.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0
3jpa2tsb,3.0,5.0,4.0,3.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,2.0,3.0,1.0,4.0,4.0,3.0,2.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,5.0,2.0,5.0
c06578u3,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,4.0,4.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0
0qkgkxqu,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,5.0,5.0,4.0,1.0,3.0,1.0,0.0,3.0,0.0,4.0,3.0,1.0,3.0,3.0,4.0,4.0,0.0,4.0,0.0,0.0,3.0,0.0,4.0,3.0,3.0,5.0,5.0
7mgk0lvg,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,1.0,3.0,3.0,1.0,1.0,4.0,4.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,1.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,0.0,2.0,2.0,3.0,3.0,2.0
5a74hpcq,2.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,4.0,4.0,2.0,4.0,4.0,0.0,0.0,3.0,3.0,1.0,3.0,1.0,3.0,0.0,1.0,1.0,3.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,2.0,4.0,1.0,4.0
